id,geologic_unit_gid,unit_link,strat_name_id,unit_id,addition,removal
266,,IDY3smh;0,4763,,FALSE,TRUE
267,,MTTRu;0,4763,,FALSE,TRUE
268,,IDKXmix;0,4763,,FALSE,TRUE
269,,IDY1sm;0,4763,,FALSE,TRUE
270,,IDTm1b;0,4763,,FALSE,TRUE
271,,IDYXsmh;0,4763,,FALSE,TRUE
272,,IDTRl;0,4763,,FALSE,TRUE
273,,IDZXmhs;0,4763,,FALSE,TRUE
274,,MTTv;0,4763,,FALSE,TRUE
275,,IDY2s;0,4763,,FALSE,TRUE
276,,MTKg;0,4763,,FALSE,TRUE
277,,MTKsm;0,4763,,FALSE,TRUE
278,,IDZXmhq;0,4763,,FALSE,TRUE
279,,MTKi;0,4763,,FALSE,TRUE
280,,MTOu;0,4763,,FALSE,TRUE
281,,IDYm;0,4763,,FALSE,TRUE
282,,WAPO;0,4763,,FALSE,TRUE
283,,WApTv;0,4763,,FALSE,TRUE
284,,IDToi;0,4763,,FALSE,TRUE
285,,MTKeu;0,4763,,FALSE,TRUE
286,,WApT;0,4763,,FALSE,TRUE
287,,MTpCAw;0,4763,,FALSE,TRUE
288,,MTpCAsc;0,4763,,FALSE,TRUE
289,,WAMIv;0,4763,,FALSE,TRUE
290,,IDTpb;0,4763,,FALSE,TRUE
291,,IDKu;0,4763,,FALSE,TRUE
292,,IDOC;0,4763,,FALSE,TRUE
293,,WATg;0,4763,,FALSE,TRUE
294,,IDTpmv;0,4763,,FALSE,TRUE
295,,MTpCAa;0,4763,,FALSE,TRUE
296,,MTJTR;0,4763,,FALSE,TRUE
297,,IDY3sm;0,4763,,FALSE,TRUE
298,,MTTa;0,4763,,FALSE,TRUE
299,,MTpCAe;0,4763,,FALSE,TRUE
300,,IDY1nKm;0,4763,,FALSE,TRUE
301,,MTMu;0,4763,,FALSE,TRUE
302,,WAQc;0,4763,,FALSE,TRUE
303,,IDY3nmh;0,4763,,FALSE,TRUE
304,,IDTmib;0,4763,,FALSE,TRUE
305,,MTTw;0,4763,,FALSE,TRUE
306,,IDQpu1f;0,4763,,FALSE,TRUE
307,,MTpCAg;0,4763,,FALSE,TRUE
308,,WAQg;0,4763,,FALSE,TRUE
309,,IDJu;0,4763,,FALSE,TRUE
310,,MTKhc;0,4763,,FALSE,TRUE
311,,IDOu;0,4763,,FALSE,TRUE
312,,MTKtm;0,4763,,FALSE,TRUE
