CMA #,COG ID,NGMDB Product Link,Pixel Space COG Link,NGMDB ProdID,NGMDB ItemID,Process?,Results Ready?,Georeferenced Results Link,Pixel Space Results Link,Comments
2,63297329c3c962a9c2b982bb92bf4aa668b764b5974252256f056e254ab580e9,https://ngmdb.usgs.gov/Prodesc/proddesc_8982.htm,Download,8982,74438,yes,yes,Result Download,Result Download,"Toole, UT"
2,708928d328d308d318f350f350f348f34c7b64bb633b58994c9303330333e300,https://ngmdb.usgs.gov/Prodesc/proddesc_9123.htm,Download,9123,1357,,,,,
2,5ad40ad51ad51ad58e5597555bf549d544d572d586150755075169551557e614,https://ngmdb.usgs.gov/Prodesc/proddesc_9123.htm,Download,9123,1356,,,,,
2,49f44dfd45b30df30df711b530f531fb34f936f852a552a556ad52ad52ad62dc,https://ngmdb.usgs.gov/Prodesc/proddesc_8978.htm,Download,8978,19976,,,,,
2,c8e464e924f96ef10df30ced14e95ce94c694c6b0c6ae71c9a499ac96258e4f4,https://ngmdb.usgs.gov/Prodesc/proddesc_1389.htm,Download,1389,74286,,,,,
2,e4d15197698d43cd47b544b546b541af61ee60f664cd64c544f348d088cc60cc,https://ngmdb.usgs.gov/Prodesc/proddesc_1389.htm,Download,1389,74287,,,,,
2,dc98c9338b33953335b319b359bb39ab1ca33cb36c9ec49c64264ba659d45d99,https://ngmdb.usgs.gov/Prodesc/proddesc_20268.htm,Download,20268,24378,,,,,
2,39c004370a770f870acf0ad7003799678c1f8c3f8d3f9d1f8c9f8e4f8e4ff8d0,https://ngmdb.usgs.gov/Prodesc/proddesc_2435.htm,Download,2435,25114,,,,,
2,d9009ce698e69a2a96869cd699d69926991694769d8698cc948494cc9cc4e020,https://ngmdb.usgs.gov/Prodesc/proddesc_2435.htm,Download,2435,25113,,,,,
2,bbc40c170a370f9f1bcf1ecf09b799b78c1f0c7f9c7f9d879ca796e796e7f898,https://ngmdb.usgs.gov/Prodesc/proddesc_2435.htm,Download,2435,25115,,,,,
2,b8ca08371a371697168710af01fb92d708bf9cef8e4f991f9c4f947f9d77cb30,https://ngmdb.usgs.gov/Prodesc/proddesc_2435.htm,Download,2435,25116,,,,,
2,70cdc0cd43c543ccc1c403c607c467c613c611a40d8d2b277365366d7673486b,https://ngmdb.usgs.gov/Prodesc/proddesc_13139.htm,Download,13139,63359,,,,,
2,693b1b3b0a1b0f1b079b535b697b6bd91ad94b4b696969496969696d696d82f1,https://ngmdb.usgs.gov/Prodesc/proddesc_13047.htm,Download,13047,1337,,,,,
2,c260638031b82b1bc99f6c9f6eb30d3b626969e769e5ca6158ab38e92c6550d8,https://ngmdb.usgs.gov/Prodesc/proddesc_25097.htm,Download,25097,25633,,,,,
2,40e20365457549f341f10df71df11dd509d12df7a6172c9524d59cd51895c316,https://ngmdb.usgs.gov/Prodesc/proddesc_12242.htm,Download,12242,1329,yes,yes,Result Download,Result Download,
2,52d453d113b12db327b34bd142ed04e946eb0e2969b948ab4733553f25be80d8,https://ngmdb.usgs.gov/Prodesc/proddesc_12252.htm,Download,12252,74312,,,,,
2,75b1659147b346e34eab4da16d9527ad18031a8d7aad30854955698b294700e1,https://ngmdb.usgs.gov/Prodesc/proddesc_9931.htm,Download,9931,16927,yes,yes,Result Download,Result Download,
2,f1004c710cf509f95bf952f52b753fbd1eb53db56d3527b5037493c29242c08e,https://ngmdb.usgs.gov/Prodesc/proddesc_9348.htm,Download,9348,74296,,,,,
2,eca0117136715c717a6b72ee41eb65eb61eb4beb4f694d6b464b86cb86cea436,https://ngmdb.usgs.gov/Prodesc/proddesc_8950.htm,Download,8950,74290,,,,,
2,7211362e06be073526754f6547a94f4559c6773642f66e664d0681f689b6a109,https://ngmdb.usgs.gov/Prodesc/proddesc_8950.htm,Download,8950,74291,,,,,
2,5da00da54fe50fe34fa15f655bc55b844d942e972eb78ca3b692258318a480f8,https://ngmdb.usgs.gov/Prodesc/proddesc_8893.htm,Download,8893,74288,yes,yes,Result Download,Result Download,
2,eb1065d256d27a763c351e351b3545b5799759b551b51b7453652f252ce58209,https://ngmdb.usgs.gov/Prodesc/proddesc_9832.htm,Download,9832,74302,,,,,
2,5840671d673556395a765ab67e357b3573b5539752d54cd72dd5c32582a49245,https://ngmdb.usgs.gov/Prodesc/proddesc_9063.htm,Download,9063,74294,,,,,
2,43615b711b592349334927494349534942497d4949491adb3c9b36a9373b48fd,https://ngmdb.usgs.gov/Prodesc/proddesc_10171.htm,Download,10171,2546,,,,,
2,74b16d334633423b593750b758b74cb353b1c3036ba36da79a831309054b80c1,https://ngmdb.usgs.gov/Prodesc/proddesc_28120.htm,Download,28120,74458,,,,,
2,65d867cd77c577c577f173d976d92cd94dd9844176c156b556d50697189ea8e9,https://ngmdb.usgs.gov/Prodesc/proddesc_9518.htm,Download,9518,74301,,,,,
2,a8a42db561c593a1b1b331b561e569e516a552b361b666a662b1119913a900e3,https://ngmdb.usgs.gov/Prodesc/proddesc_9991.htm,Download,9991,74451,,,,,
2,4e906d656d7555554d754d252d352d552d5725553665193645946cc51cd4c0b6,https://ngmdb.usgs.gov/Prodesc/proddesc_9354.htm,Download,9354,2558,,,,,
2,50e958326472336a19ea77ea4fea4b3a5baa7328155455546d542d5425556639,https://ngmdb.usgs.gov/Prodesc/proddesc_96078.htm,Download,96078,28718,,,,,
2,60b059b93af924794d79103912b908b904b106bde2c90a8b1aad7aad03ad8694,https://ngmdb.usgs.gov/Prodesc/proddesc_9855.htm,Download,9855,74307,,,,,
2,46b50379197d08792c79563547355e35366d56a5d2ad52a556a556a587258721,https://ngmdb.usgs.gov/Prodesc/proddesc_3904.htm,Download,3904,20449,,,,,
2,40d030a5382118a53ca929214c673c7935383426326f73ed758d824d938da30d,https://ngmdb.usgs.gov/Prodesc/proddesc_9245.htm,Download,9245,74440,,,,,
2,74f431473b636b665c665c664ce62c656665665534d538555c555855c4d484d2,https://ngmdb.usgs.gov/Prodesc/proddesc_9245.htm,Download,9245,74439,,,,,
2,dc042bc92bd9a8c924d9a3c5c2c541d920d926d926cda6a78e9482b4c0cadcd2,https://ngmdb.usgs.gov/Prodesc/proddesc_2678.htm,Download,2678,15179,,,,,
